Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
675,1.2062,2.7947,0.033684
676,1.2027,2.7988,0.033734
677,1.1991,2.8028,0.033784999999999996
678,1.1948,2.8067,0.033834
679,1.1897,2.8106,0.033883
680,1.1835,2.8148,0.033935
681,1.1758,2.8189,0.033986
682,1.1652,2.823,0.034037000000000005
683,1.1499,2.8269,0.034085000000000004
684,1.1255,2.8308,0.034135
685,1.0821,2.835,0.034186999999999995
686,0.9884,2.8388,0.034234
687,0.6098,2.8433,0.034291
